email,first_name,last_name,company,title,source,is_dm,hunter_confidence,signal_tag,registered_date,collected_date,domain,website
john@emeraldcityroofing.com,John,Peterson,Emerald City Roofing LLC,Managing Member,officer_permutation,,,new_business,2025-01-15,2026-03-11,emeraldcityroofing.com,https://emeraldcityroofing.com
john.peterson@emeraldcityroofing.com,John,Peterson,Emerald City Roofing LLC,Managing Member,officer_permutation,,,new_business,2025-01-15,2026-03-11,emeraldcityroofing.com,https://emeraldcityroofing.com
johnpeterson@emeraldcityroofing.com,John,Peterson,Emerald City Roofing LLC,Managing Member,officer_permutation,,,new_business,2025-01-15,2026-03-11,emeraldcityroofing.com,https://emeraldcityroofing.com
sarah@emeraldcityroofing.com,Sarah,Peterson,Emerald City Roofing LLC,Member,officer_permutation,,,new_business,2025-01-15,2026-03-11,emeraldcityroofing.com,https://emeraldcityroofing.com
sarah.peterson@emeraldcityroofing.com,Sarah,Peterson,Emerald City Roofing LLC,Member,officer_permutation,,,new_business,2025-01-15,2026-03-11,emeraldcityroofing.com,https://emeraldcityroofing.com
sarahpeterson@emeraldcityroofing.com,Sarah,Peterson,Emerald City Roofing LLC,Member,officer_permutation,,,new_business,2025-01-15,2026-03-11,emeraldcityroofing.com,https://emeraldcityroofing.com
michael@pacificnorthwestelectric.com,Michael,Chen,Pacific Northwest Electric Inc,President,officer_permutation,,,new_business,2024-09-20,2026-03-11,pacificnorthwestelectric.com,https://pacificnorthwestelectric.com
michael.chen@pacificnorthwestelectric.com,Michael,Chen,Pacific Northwest Electric Inc,President,officer_permutation,,,new_business,2024-09-20,2026-03-11,pacificnorthwestelectric.com,https://pacificnorthwestelectric.com
michaelchen@pacificnorthwestelectric.com,Michael,Chen,Pacific Northwest Electric Inc,President,officer_permutation,,,new_business,2024-09-20,2026-03-11,pacificnorthwestelectric.com,https://pacificnorthwestelectric.com
lisa@pacificnorthwestelectric.com,Lisa,Wang,Pacific Northwest Electric Inc,Secretary,officer_permutation,,,new_business,2024-09-20,2026-03-11,pacificnorthwestelectric.com,https://pacificnorthwestelectric.com
lisa.wang@pacificnorthwestelectric.com,Lisa,Wang,Pacific Northwest Electric Inc,Secretary,officer_permutation,,,new_business,2024-09-20,2026-03-11,pacificnorthwestelectric.com,https://pacificnorthwestelectric.com
lisawang@pacificnorthwestelectric.com,Lisa,Wang,Pacific Northwest Electric Inc,Secretary,officer_permutation,,,new_business,2024-09-20,2026-03-11,pacificnorthwestelectric.com,https://pacificnorthwestelectric.com
robert@cascadebuilding.com,Robert,Torres,Cascade Building Services LLC,Manager,officer_permutation,,,new_business;formation_with_employees;website_refresh,2024-11-01,2026-03-11,cascadebuilding.com,https://cascadebuilding.com
robert.torres@cascadebuilding.com,Robert,Torres,Cascade Building Services LLC,Manager,officer_permutation,,,new_business;formation_with_employees;website_refresh,2024-11-01,2026-03-11,cascadebuilding.com,https://cascadebuilding.com
roberttorres@cascadebuilding.com,Robert,Torres,Cascade Building Services LLC,Manager,officer_permutation,,,new_business;formation_with_employees;website_refresh,2024-11-01,2026-03-11,cascadebuilding.com,https://cascadebuilding.com
maria@cascadebuilding.com,Maria,Torres,Cascade Building Services LLC,Member,officer_permutation,,,new_business;formation_with_employees;website_refresh,2024-11-01,2026-03-11,cascadebuilding.com,https://cascadebuilding.com
maria.torres@cascadebuilding.com,Maria,Torres,Cascade Building Services LLC,Member,officer_permutation,,,new_business;formation_with_employees;website_refresh,2024-11-01,2026-03-11,cascadebuilding.com,https://cascadebuilding.com
mariatorres@cascadebuilding.com,Maria,Torres,Cascade Building Services LLC,Member,officer_permutation,,,new_business;formation_with_employees;website_refresh,2024-11-01,2026-03-11,cascadebuilding.com,https://cascadebuilding.com
david@soundstaffing.com,David,Kim,Sound Transit Staffing Group LLC,Managing Member,officer_permutation,,,new_business;website_refresh,2025-03-01,2026-03-11,soundstaffing.com,https://soundstaffing.com
david.kim@soundstaffing.com,David,Kim,Sound Transit Staffing Group LLC,Managing Member,officer_permutation,,,new_business;website_refresh,2025-03-01,2026-03-11,soundstaffing.com,https://soundstaffing.com
davidkim@soundstaffing.com,David,Kim,Sound Transit Staffing Group LLC,Managing Member,officer_permutation,,,new_business;website_refresh,2025-03-01,2026-03-11,soundstaffing.com,https://soundstaffing.com
jennifer@soundstaffing.com,Jennifer,Kim,Sound Transit Staffing Group LLC,Member,officer_permutation,,,new_business;website_refresh,2025-03-01,2026-03-11,soundstaffing.com,https://soundstaffing.com
jennifer.kim@soundstaffing.com,Jennifer,Kim,Sound Transit Staffing Group LLC,Member,officer_permutation,,,new_business;website_refresh,2025-03-01,2026-03-11,soundstaffing.com,https://soundstaffing.com
