email,first_name,last_name,company,title,source,is_dm,hunter_confidence,signal_tag,registered_date,collected_date,domain,website,mx_pass,reject_reason,verification_score,domain_age_days,smtp_ok,catch_all,smtp_status,smtp_attempted
john@emeraldcityroofing.com,John,Peterson,Emerald City Roofing LLC,Managing Member,officer_permutation,,,new_business,2025-01-15,2026-03-11,emeraldcityroofing.com,https://emeraldcityroofing.com,TRUE,,PASS,6427,,,not_attempted,FALSE
john.peterson@emeraldcityroofing.com,John,Peterson,Emerald City Roofing LLC,Managing Member,officer_permutation,,,new_business,2025-01-15,2026-03-11,emeraldcityroofing.com,https://emeraldcityroofing.com,TRUE,,PASS,6427,,,not_attempted,FALSE
johnpeterson@emeraldcityroofing.com,John,Peterson,Emerald City Roofing LLC,Managing Member,officer_permutation,,,new_business,2025-01-15,2026-03-11,emeraldcityroofing.com,https://emeraldcityroofing.com,TRUE,,PASS,6427,,,not_attempted,FALSE
sarah@emeraldcityroofing.com,Sarah,Peterson,Emerald City Roofing LLC,Member,officer_permutation,,,new_business,2025-01-15,2026-03-11,emeraldcityroofing.com,https://emeraldcityroofing.com,TRUE,,PASS,6427,,,not_attempted,FALSE
sarah.peterson@emeraldcityroofing.com,Sarah,Peterson,Emerald City Roofing LLC,Member,officer_permutation,,,new_business,2025-01-15,2026-03-11,emeraldcityroofing.com,https://emeraldcityroofing.com,TRUE,,PASS,6427,,,not_attempted,FALSE
sarahpeterson@emeraldcityroofing.com,Sarah,Peterson,Emerald City Roofing LLC,Member,officer_permutation,,,new_business,2025-01-15,2026-03-11,emeraldcityroofing.com,https://emeraldcityroofing.com,TRUE,,PASS,6427,,,not_attempted,FALSE
michael@pacificnorthwestelectric.com,Michael,Chen,Pacific Northwest Electric Inc,President,officer_permutation,,,new_business,2024-09-20,2026-03-11,pacificnorthwestelectric.com,https://pacificnorthwestelectric.com,TRUE,,PASS,6964,,,not_attempted,FALSE
michael.chen@pacificnorthwestelectric.com,Michael,Chen,Pacific Northwest Electric Inc,President,officer_permutation,,,new_business,2024-09-20,2026-03-11,pacificnorthwestelectric.com,https://pacificnorthwestelectric.com,TRUE,,PASS,6964,,,not_attempted,FALSE
michaelchen@pacificnorthwestelectric.com,Michael,Chen,Pacific Northwest Electric Inc,President,officer_permutation,,,new_business,2024-09-20,2026-03-11,pacificnorthwestelectric.com,https://pacificnorthwestelectric.com,TRUE,,PASS,6964,,,not_attempted,FALSE
lisa@pacificnorthwestelectric.com,Lisa,Wang,Pacific Northwest Electric Inc,Secretary,officer_permutation,,,new_business,2024-09-20,2026-03-11,pacificnorthwestelectric.com,https://pacificnorthwestelectric.com,TRUE,,PASS,6964,,,not_attempted,FALSE
