Email,First Name,Last Name,Company,Job Title,Phone,Website,City,Signal Tag,LinkedIn URL,Notes
john@emeraldcityroofing.com,John,Peterson,Emerald City Roofing LLC,Managing Member,,emeraldcityroofing.com,Seattle,new_business,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business)
john.peterson@emeraldcityroofing.com,John,Peterson,Emerald City Roofing LLC,Managing Member,,emeraldcityroofing.com,Seattle,new_business,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business)
johnpeterson@emeraldcityroofing.com,John,Peterson,Emerald City Roofing LLC,Managing Member,,emeraldcityroofing.com,Seattle,new_business,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business)
sarah@emeraldcityroofing.com,Sarah,Peterson,Emerald City Roofing LLC,Member,,emeraldcityroofing.com,Seattle,new_business,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business)
sarah.peterson@emeraldcityroofing.com,Sarah,Peterson,Emerald City Roofing LLC,Member,,emeraldcityroofing.com,Seattle,new_business,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business)
sarahpeterson@emeraldcityroofing.com,Sarah,Peterson,Emerald City Roofing LLC,Member,,emeraldcityroofing.com,Seattle,new_business,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business)
michael@pacificnorthwestelectric.com,Michael,Chen,Pacific Northwest Electric Inc,President,,pacificnorthwestelectric.com,Seattle,new_business,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business)
michael.chen@pacificnorthwestelectric.com,Michael,Chen,Pacific Northwest Electric Inc,President,,pacificnorthwestelectric.com,Seattle,new_business,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business)
michaelchen@pacificnorthwestelectric.com,Michael,Chen,Pacific Northwest Electric Inc,President,,pacificnorthwestelectric.com,Seattle,new_business,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business)
lisa@pacificnorthwestelectric.com,Lisa,Wang,Pacific Northwest Electric Inc,Secretary,,pacificnorthwestelectric.com,Seattle,new_business,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business)
lisa.wang@pacificnorthwestelectric.com,Lisa,Wang,Pacific Northwest Electric Inc,Secretary,,pacificnorthwestelectric.com,Seattle,new_business,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business)
lisawang@pacificnorthwestelectric.com,Lisa,Wang,Pacific Northwest Electric Inc,Secretary,,pacificnorthwestelectric.com,Seattle,new_business,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business)
robert@cascadebuilding.com,Robert,Torres,Cascade Building Services LLC,Manager,,cascadebuilding.com,Seattle,new_business;formation_with_employees;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;formation_with_employees;website_refresh)
robert.torres@cascadebuilding.com,Robert,Torres,Cascade Building Services LLC,Manager,,cascadebuilding.com,Seattle,new_business;formation_with_employees;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;formation_with_employees;website_refresh)
roberttorres@cascadebuilding.com,Robert,Torres,Cascade Building Services LLC,Manager,,cascadebuilding.com,Seattle,new_business;formation_with_employees;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;formation_with_employees;website_refresh)
maria@cascadebuilding.com,Maria,Torres,Cascade Building Services LLC,Member,,cascadebuilding.com,Seattle,new_business;formation_with_employees;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;formation_with_employees;website_refresh)
maria.torres@cascadebuilding.com,Maria,Torres,Cascade Building Services LLC,Member,,cascadebuilding.com,Seattle,new_business;formation_with_employees;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;formation_with_employees;website_refresh)
mariatorres@cascadebuilding.com,Maria,Torres,Cascade Building Services LLC,Member,,cascadebuilding.com,Seattle,new_business;formation_with_employees;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;formation_with_employees;website_refresh)
david@soundstaffing.com,David,Kim,Sound Transit Staffing Group LLC,Managing Member,,soundstaffing.com,Seattle,new_business;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;website_refresh)
david.kim@soundstaffing.com,David,Kim,Sound Transit Staffing Group LLC,Managing Member,,soundstaffing.com,Seattle,new_business;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;website_refresh)
davidkim@soundstaffing.com,David,Kim,Sound Transit Staffing Group LLC,Managing Member,,soundstaffing.com,Seattle,new_business;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;website_refresh)
jennifer@soundstaffing.com,Jennifer,Kim,Sound Transit Staffing Group LLC,Member,,soundstaffing.com,Seattle,new_business;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;website_refresh)
jennifer.kim@soundstaffing.com,Jennifer,Kim,Sound Transit Staffing Group LLC,Member,,soundstaffing.com,Seattle,new_business;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;website_refresh)
jenniferkim@soundstaffing.com,Jennifer,Kim,Sound Transit Staffing Group LLC,Member,,soundstaffing.com,Seattle,new_business;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;website_refresh)
james@pugetsoundplumbing.com,James,Wilson,Puget Sound Plumbing Co,President,,pugetsoundplumbing.com,Seattle,new_business;active_hiring;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;active_hiring;website_refresh)
james.wilson@pugetsoundplumbing.com,James,Wilson,Puget Sound Plumbing Co,President,,pugetsoundplumbing.com,Seattle,new_business;active_hiring;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;active_hiring;website_refresh)
jameswilson@pugetsoundplumbing.com,James,Wilson,Puget Sound Plumbing Co,President,,pugetsoundplumbing.com,Seattle,new_business;active_hiring;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;active_hiring;website_refresh)
amy@pugetsoundplumbing.com,Amy,Wilson,Puget Sound Plumbing Co,VP Operations,,pugetsoundplumbing.com,Seattle,new_business;active_hiring;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;active_hiring;website_refresh)
amy.wilson@pugetsoundplumbing.com,Amy,Wilson,Puget Sound Plumbing Co,VP Operations,,pugetsoundplumbing.com,Seattle,new_business;active_hiring;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;active_hiring;website_refresh)
amywilson@pugetsoundplumbing.com,Amy,Wilson,Puget Sound Plumbing Co,VP Operations,,pugetsoundplumbing.com,Seattle,new_business;active_hiring;website_refresh,,src=0.30(officer_permutation) ver=0.30(mx=✓) fresh=1.00(0d) sig=0.90(new_business;active_hiring;website_refresh)
